x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.484000E-03,-150.625E-06,-143.810E-06,-22.379639E-03,-7.070E-06
-1.482000E-03,-178.501E-06,-135.764E-06,-12.643205E-03,-42.984E-06
-1.480000E-03,-266.276E-06,-146.170E-06,-1.035035E-03,-120.330E-06
-1.478000E-03,-170.273E-06,-140.391E-06,+12.746629E-03,-30.175E-06
-1.476000E-03,-222.754E-06,-170.033E-06,+26.565603E-03,-53.022E-06
-1.474000E-03,-163.941E-06,-140.186E-06,+39.567867E-03,-24.062E-06
-1.472000E-03,-145.559E-06,-143.934E-06,+50.736213E-03,-1.894E-06
-1.470000E-03,-268.539E-06,-159.867E-06,+61.276419E-03,-108.902E-06
-1.468000E-03,-248.018E-06,-162.473E-06,+72.583084E-03,-85.776E-06
-1.466000E-03,-240.413E-06,-157.400E-06,+85.359599E-03,-83.252E-06
-1.464000E-03,-236.196E-06,-163.709E-06,+98.625936E-03,-72.693E-06
-1.462000E-03,-332.018E-06,-191.927E-06,+111.276565E-03,-140.291E-06
-1.460000E-03,-231.579E-06,-203.706E-06,+122.457344E-03,-28.120E-06
-1.458000E-03,-322.457E-06,-217.779E-06,+132.997549E-03,-104.938E-06
-1.456000E-03,-214.591E-06,-172.822E-06,+144.781736E-03,-42.009E-06
-1.454000E-03,-82.330E-06,-133.403E-06,+158.249341E-03,+50.713E-06
-1.452000E-03,-152.729E-06,-135.541E-06,+173.613669E-03,-17.392E-06
-1.450000E-03,-120.416E-06,-123.306E-06,+188.663793E-03,+2.503E-06
-1.448000E-03,-67.838E-06,-124.487E-06,+201.351975E-03,+56.302E-06
-1.446000E-03,-103.455E-06,-135.265E-06,+211.728597E-03,+31.419E-06
-1.444000E-03,-145.694E-06,-146.167E-06,+220.585250E-03,+149E-09
-1.442000E-03,-214.460E-06,-164.213E-06,+230.597816E-03,-50.506E-06
-1.440000E-03,-256.347E-06,-189.012E-06,+241.804390E-03,-67.540E-06
-1.438000E-03,-154.334E-06,-187.197E-06,+254.769355E-03,+32.476E-06
-1.436000E-03,-194.487E-06,-193.506E-06,+268.337064E-03,-1.259E-06
-1.434000E-03,-279.544E-06,-207.049E-06,+280.836796E-03,-72.730E-06
-1.432000E-03,-237.580E-06,-214.364E-06,+291.200985E-03,-23.474E-06
-1.430000E-03,-295.795E-06,-216.269E-06,+301.163300E-03,-79.752E-06
-1.428000E-03,-235.591E-06,-193.649E-06,+312.218856E-03,-42.138E-06
